"","Tweet","Time Stamp","Twitter Handle","Latitude","Longitude","Topic"
"29","@ShaunKing wants to talk about someone being a pervert when he stands with Bernie Sanders who wrote rape essays and voted to protect rapist","Sat Feb 13 18:23:43 +0000 2016","MrDane1982",40.655138,"-73.9487755","violence_against_women"
"30","@ProLifePolitics @ImpressionsofTX @marcorubio @tedcruz @nrlc  You don't see Rubio lying about Cruz on the issue.  #Integrity #Rubio2016","Sat Feb 13 21:26:35 +0000 2016","reluctantzealot",32.6782075,"-83.1738665","reproductive_rights"
"31","@JohnKasich lost me (#GOPDebate): plans to defund Planned Parenthood (#StandwithPP): lies: PP was discredited whereas the video makers were.","Sun Feb 14 04:13:41 +0000 2016","Halkn8",38.805335,"-121.2506635","reproductive_rights"
"32","Ted Cruz just said that the Dems would make 'partial birth abortion mandatory'  What?","Sun Feb 14 04:17:03 +0000 2016","donkosin",38.981337,"-77.1185025","reproductive_rights"
"33","@Johnatsrs1949 @PlaysTrumpCard @realDonaldTrump @tedcruz lies again very deceitful Trump clearly said supports PPH except for abortion","Sun Feb 14 10:16:24 +0000 2016","wildpaz1_",27.698682,"-83.804475","reproductive_rights"
"34","Ted Cruz is a nut job!!  Having Obama appoint the justice will not “completely rewrite the second amendment” or create “abortions on demand”","Sun Feb 14 16:19:28 +0000 2016","jaymarcell",43.348676,"-90.0529355","reproductive_rights"
"35","@chucktodd why did you give @tedcruz all that time to spew lies? Abortion on demand? Neither side is proposing this. Crazy media.","Sun Feb 14 18:22:41 +0000 2016","BigThinkr",47.614817,"-122.3306025","reproductive_rights"
"36","@tedcruz #CruzCrew #GOP2016 Defending PPH is defending racism. PPH is supported by liboDems and vice versa. https://t.co/Vihx0NjX37","Sun Feb 14 20:57:26 +0000 2016","PreachinJames",45.4627425,"-123.8365685","intersectionality"
"37","@tedcruz #PlannedParenthood since Trump favors PPH he then favors black genicide like democrats do.","Sun Feb 14 21:00:52 +0000 2016","PreachinJames",45.4627425,"-123.8365685","reproductive_rights"
"38","You're never a little bit pregnant &amp; @realDonaldTrump can't sort of support #PlannedParenthood. See @tedcruz ad: https://t.co/VZcLStJS1h","Sun Feb 14 23:11:39 +0000 2016","alicetweet",35.9824705,"-83.9638415","reproductive_rights"
"39","Jindal said he 'expected more from Ted Cruz' than his 'lie' that Rubio hadn't done enough to attempt to #defundPP.  https://t.co/yx5oea6qwr","Mon Feb 15 15:03:46 +0000 2016","rightwinglatina",35.209059,"-80.8467855","reproductive_rights"
"40","WTF should I do now 😂😂😂 support what he said for Donald Trump or criticize his comments on abortion related to Zika virus 😂😂😂😂","Thu Feb 18 17:52:33 +0000 2016","IlaxBJoseph",40.7055975,"-73.977717","reproductive_rights"
"41","I don't think Cruz does anything wonderful. #PlannedParenthood is wonderful. https://t.co/Ssc3RRWoBp","Thu Feb 18 21:57:20 +0000 2016","s2802_ch",44.87629,"-93.278974","reproductive_rights"
"42","YES!!! This Hillary supporter laid Bernie out! About thinking racial issues are only connected to economic ones. #DemTownHall   #ImWithHer","Fri Feb 19 02:20:08 +0000 2016","AutumnNAlston",35.4019815,"-80.6311315","intersectionality"
"43","@realDonaldTrump is bad for #lgbt #equality #diversity this is wrong for #USA. A Nation United in rights=#USA  https://t.co/Ke1yzQ6VTH","Fri Feb 19 02:24:55 +0000 2016","brownaaron1987",45.00118,"-86.2705395","intersectionality"
"44","@LibertyNews1776 @DrottM @tedcruz @CR Date?or RAPE? As long as he keeps a list for her of who2 terrorize later she's good with the latter...","Fri Feb 19 06:47:41 +0000 2016","realetybytes",26.150368,"-80.1491725","violence_against_women"
"45","@Cowgirlpal @MSNBC @JohnKasich  I used to be a screaming Dem  too. I escorted women into an abortion clinic every Sat.  protested for Peta.","Fri Feb 19 11:58:03 +0000 2016","AOS_author",33.0076425,"-80.150055","reproductive_rights"
"46","@AC360 @tedcruz @andersoncooper Trump said he hated abortion but was very pro choice. &amp; he was okay with Partial Birth abortion being legal","Fri Feb 19 14:48:31 +0000 2016","Linkus717",42.1795335,"-72.4576525","reproductive_rights"
"47","@WayneEdH @Fairshare2012 Bernie's gang-rape fantasies are his fantasies  not women's. Bernie wanted to be gang-raped","Fri Feb 19 16:07:24 +0000 2016","Plantflowes",40.3651595,"-82.6694675","violence_against_women"
"48","@mrsnowatzke @HillaryClinton It's complicated. Some is straight-up sexism. But a lot is more complex. Mass vs elite resentments worldwide","Fri Feb 19 20:22:56 +0000 2016","PaulHRosenberg",34.0207895,"-118.4119065","feminism"
"49","Okay so you can buy a shirt that says Ted Cruz was the zodiac killer while also funding abortions. What a beautiful day.","Fri Feb 19 20:31:14 +0000 2016","god_is_bread",38.3045585,"-92.4367735","reproductive_rights"
"50","@CBSNews #Cuban-Canadian  immigrant #tedcruz possible #racist? #confederateflag #racism in #gop","Sat Feb 20 15:12:37 +0000 2016","OgunquitGuide",26.150368,"-80.1491725","intersectionality"
"51","@LoriPatriot research available to all @tedcruz leaning open-minded voters https://t.co/BBZdgUbBL4","Sat Feb 20 20:52:07 +0000 2016","TheCarCzarsPage",44.1454365,"-120.5834015","professional_gap"
"52","Disgusted Americans  my people  would elect a racist sexist like @realDonaldTrump who would make my daughter register as Muslim #Republican","Sun Feb 21 02:24:20 +0000 2016","stareenite",39.685852,"-105.1233195","feminism"
"53","@CNN @CNNSotu @tedcruz Both TRUMP's NYC  CRUZ Houston top T+L 'America's Cities' they refuse to support cleaning up!","Sun Feb 21 18:49:28 +0000 2016","litterscorecard",42.308346,"0.3142995","professional_gap"
"54",".@bpshow I voted for Perot  not Bill. White men have not bonded with the white roots of @POTUS so RACISM is rampant. He paved way 4 BERNIE.","Mon Feb 22 11:40:51 +0000 2016","jeffries_anne",34.0207895,"-118.4119065","intersectionality"
"55","One fun thing about @realDonaldTrump's rise &amp; @tedcruz's nastiness  eventually 100% Ted will use Don's ex-wife's rape accusations.","Mon Feb 22 16:37:36 +0000 2016","paleomexicano",33.8091715,"-118.1567105","violence_against_women"
"56","Check out the video of the five black kids that were accused of rape! @realDonaldTrump promoted death for them! Evil https://t.co/ng4XNMKeAV","Mon Feb 22 16:53:41 +0000 2016","Debi129",47.273022,"-120.882482","violence_against_women"
