"","Tweet","Time Stamp","Twitter Handle","Latitude","Longitude","Topic"
"30","Bernie Bros can say what ever sexist bull shit they want because...Bill Clinton! Good job @BernieSanders So much for a clean campaign.","Mon Feb 08 20:15:08 +0000 2016","babsiemay",37.765135,"-87.1023995","feminism"
"31","@GloriaSteinem apologizes for idiotic  anti-feminist remarks about young  female @SenSanders supporters @billmaher https://t.co/mRuWPrbIjN","Mon Feb 08 21:12:34 +0000 2016","AmyGleich",33.5528625,"-112.1246765","feminism"
"32","I am not a Bernie Sanders supporter per se  and I don't vote Democrats straight up. But I see coded racism bullshit.","Mon Feb 08 22:13:23 +0000 2016","T3hk0r34n",40.780709,"-73.9685415","intersectionality"
"33","@Vallmeister  Really  the ageism and sexism-just plain accusations of evil  emanating from Bernie's side (not him  mind you) is  truly vile","Mon Feb 08 22:13:37 +0000 2016","Bonn1eGreer",51.5144805,"-0.0929105","feminism"
"34","An open letter to older #women #voting for #Hillary  from a younger woman voting for #Bernie via https://t.co/OjOcTwvR0Z #FEMINISTforBERNIE","Mon Feb 08 22:21:07 +0000 2016","EmilyRuhGlobal",38.0033755,"-79.420865","feminism"
"35","I love when @HillaryClinton supporters lecture me  a woman  about sexism. I was raised by THIS woman. #Bernie2016 https://t.co/9v7jCFSVvj","Mon Feb 08 22:37:46 +0000 2016","McSquirmishes",34.0207895,"-118.4119065","feminism"
"36","@Poli__tic @gdebenedetti @politico But if I think Bernie is the best candidate  I'm sexist and biased. Got it. /salute","Mon Feb 08 23:16:53 +0000 2016","McSquirmishes",34.0207895,"-118.4119065","feminism"
"37","Do women Democrats have to support Clinton just because she's a woman? The girls know the boys are with Bernie  are his female fans sexist?","Mon Feb 08 23:30:16 +0000 2016","LarsOperalaven",58.602377,"16.5790055","feminism"
"38","@billclinton @hbarnes @HillaryClinton SEXIST BERNIE? Bill's behavior/attitudes fostered stereotypes of social roles based on sex for 45-yrs!","Tue Feb 09 00:08:13 +0000 2016","FergOSU",40.0408125,"-83.1433925","feminism"
"39","Et du côté du camp Clinton  on a la police du féminisme qui essaie de call out les jeunes féministes qui #FeelTheBern en étant sexiste :(","Tue Feb 09 01:18:31 +0000 2016","FrenchAmerican9",51.5148305,"-0.0350195","feminism"
"40","Fired up cause #NH voters  #FeelTheBern &amp; #VoteTogether #NHPrimary #BernieSanders #Bernie2016 #feministsforbernie  https://t.co/ZD9vMrRlVQ","Tue Feb 09 01:35:11 +0000 2016","MaeJae11",42.3321275,"-72.672722","feminism"
"41","@msnbc 'Obama Boys' we weren't sexist then we are NOT sexist now! PLEASE STOP  https://t.co/oXOGi6Azc2  #feelthebern #bernie2016 #NotMeUs","Tue Feb 09 04:20:22 +0000 2016","MD_for_Bernie",39.3857395,"-76.704368","feminism"
"42","People either voting for Hilary bc she's a woman or Bernie bc they're sexist ¿ rly","Tue Feb 09 06:25:46 +0000 2016","lyndsay_",33.7661365,"-78.976213","feminism"
"43","Young #Feminists Do Get It. So Why Does Hillary Think We Don't? #BernieSanders #FeelTheBern https://t.co/3mVy5JMqrx","Tue Feb 09 06:53:37 +0000 2016","THEOMARSHALLcom",34.022688,"-118.48042","feminism"
"44","@WorldForBernie @BernieSanders @SenSanders @Women4Bernie @OnlyTruthReign @lotn2635599 @GodandtheBear  Masculinists r not Feminists","Tue Feb 09 13:51:33 +0000 2016","BoonieKane",45.00118,"-86.2705395","feminism"
"45","Why are any of the young men supporting for #BernieSanders ~ the sexism is palpable.   @HillaryClinton","Tue Feb 09 16:37:44 +0000 2016","armanwalker",34.0207895,"-118.4119065","feminism"
"46","#BenJealous comes out for #BernieSanders for his consistent stand against #racism #militarism &amp; #greed #Bernie2016 https://t.co/AJRMv78psS","Tue Feb 09 16:57:24 +0000 2016","paulinepark",40.6708795,"-73.8311875","intersectionality"
"47","I'm wondering. Has anyone heard Bernie say one thing about women's health and reproductive rights? Recently? Bueller? Bueller?","Tue Feb 09 17:07:31 +0000 2016","Amladydragonfly",39.7665555,"-86.441236","reproductive_rights"
"48","@Hesiod2k11 And that's where the sexism will really come in  in the general.  'Bernie Bros' is the same 'Obama boy' bullshit she used in '08","Tue Feb 09 17:42:34 +0000 2016","darthstar99",37.552481,"-122.3154215","feminism"
"49","Bernie Sanders is a Spiritualist...Translation: Bernie Omits what GOD Says &amp; Embraces Immoralities like gay marriage and general abortion","Tue Feb 09 18:09:26 +0000 2016","PartesanJournal",38.0033755,"-79.420865","reproductive_rights"
"50","Three months into Bernie Sanders presidency he was still saying black issues are small and poverty is the reason for racism  FOH! YOU FAILED","Tue Feb 09 20:46:35 +0000 2016","MrDane1982",40.655138,"-73.9487755","intersectionality"
"51","Voting based on candidate's gender alone isn't feminist but what makes @BernieSanders better #feminist? #feministsforbernie? #FeelTheBern","Wed Feb 10 00:32:19 +0000 2016","kthalps",40.655138,"-73.9487755","feminism"
"52","@WomanVote @goldietaylor @SenSanders  he didn't cal on @potus to slow down deportations.He voted to support armed militia on southern border","Wed Feb 10 01:52:57 +0000 2016","Donna_West",36.184754,"-115.0611275","professional_gap"
"53","Oh Hillary  shut up. You were talking all that mess. Husband calling Bernie  Sexist. #ByeStacey https://t.co/KiqfooLwUY","Wed Feb 10 02:13:32 +0000 2016","Precious8MyFood",32.4405105,"-81.8005785","feminism"
"54","@annabellaneff I support feminism  I support Bernie  I'm pro-choice  and I fully support the LGBT community +","Wed Feb 10 03:00:56 +0000 2016","annabellaneff",47.2429605,"-122.455344","feminism"
"55","when bernie talked about institutionalized racism my dad said 'i don't believe in that  blacks and latinos just commit more crime'   help","Wed Feb 10 03:21:54 +0000 2016","mxshxj",41.686789,"-72.547632","intersectionality"
"56","Bernie Sanders Wrote About Women Having Rape Fantasies. https://t.co/9v6FcLM6Kh","Wed Feb 10 04:00:50 +0000 2016","DrTomMartinPhD",44.065621,"-123.1224015","violence_against_women"
"57","But Bernie Sanders is a man who is benefiting from sexism. Power dynamics come into play here. It's not the same  https://t.co/tSvZ2OJIo3","Wed Feb 10 05:59:27 +0000 2016","boldandworthy",41.8335845,"-87.732013","feminism"
"58","@Rictracee @luigibleu @MSNBC @BernieSanders 'Bitch' is sexist. I thought you were going to attack my age.","Wed Feb 10 07:01:41 +0000 2016","LizOldbrit",32.8198585,"-96.7617535","feminism"
"59","@eonline Bernie sanders Mrs Danders Clark had removed ur request so I raped more by him. I'm no request.","Wed Feb 10 09:16:49 +0000 2016","AnaStee19484959",36.319486,"-119.3195265","violence_against_women"
"60","@BernieSanders @SenSanders The vetting process hasn't begun for you - you're being treated with kid gloves   Ur rape and racist comments ?","Wed Feb 10 12:08:45 +0000 2016","DannyBo4455",40.4772735,"-79.833837","violence_against_women"
"61","Not sure if I should be happy so many in NH #FeelTheBern or disappointed so many NH Repubs voted for racist sexist spectacle. #Election2016","Wed Feb 10 12:21:10 +0000 2016","librarydervish",41.1602505,"-81.3504345","feminism"
"62","@TheView @BernieSanders   Please ask Bernie his stance on abortion and women's reproductive rights.","Wed Feb 10 13:20:47 +0000 2016","osu55kls",40.148988,"-82.914538","reproductive_rights"
"63","Sanders and Trump win big. Americans like the outsider this election. Hillary's time is not now. Seems to be her fate. It's not misogyny.","Wed Feb 10 14:10:50 +0000 2016","EMCscotlandhome",56.188746,"-4.0567935","men"
"64","@NalvarezJim @CNN @BernieSanders He ain't changing shit until he attacks evil head of RACISM 1st. Look at how they treat OBAMA &amp; look at  us","Wed Feb 10 14:54:39 +0000 2016","dthomicide",41.1179365,"-77.604684","intersectionality"
"65","By failing to acknowledge structural #racism amplifies African American poverty #berniesanders either has profound myopia or is racist.","Wed Feb 10 16:17:21 +0000 2016","scotia626",34.022688,"-118.48042","intersectionality"
"66","I'm a woman and I will vote for the best feminist for president: Bernie Sanders https://t.co/5rXLGT8bz8","Wed Feb 10 17:21:02 +0000 2016","Place123456",47.614817,"-122.3306025","feminism"
"67","Just read that the King of Racism  @TheRevAl will be meeting w/ @BernieSanders in NYC today. #GoAway","Wed Feb 10 17:30:18 +0000 2016","mcw3783",41.440615,"-81.5218505","intersectionality"
"68","@DebErupts OMG this is just offal! Yet #FeelTheBern camp keeps accusing Hillary of plsyimh the sexism card!  https://t.co/hsnLm25sGD","Wed Feb 10 18:35:27 +0000 2016","chirprn",44.900818,"-89.5694915","feminism"
"69","We talk real issues we do it with polls should Bernie and Hillary be addressing the issues of racism in this country","Wed Feb 10 18:46:06 +0000 2016","NewsHillbilly",37.822244,"-85.7682405","intersectionality"
"70","@troycorley I wasn't referring to people who use the misogynist slur 'Bernie bros' against women. Not you. :)","Wed Feb 10 19:39:34 +0000 2016","struble_eric",32.85118,"-116.9880225","men"
"71","#BernieSanders says  We can do it - Together we can do Everything! #WomenforBernie #FeministsforBernie #WomensRights https://t.co/ExNIOTs0zY","Wed Feb 10 21:18:01 +0000 2016","MARIELinBOSTON",42.3136695,"-71.0887125","men"
"72","@StevePorkChop95 Yes lol. You're not a bernie bro; bernie bros are the ones who are super sexist/racist yet pretend to be progressive.","Thu Feb 11 00:44:43 +0000 2016","divlioRom",40.431389,"-79.9806895","feminism"
"73","@Rezelby Bernie:'Hey remember when you tried to pull off that Tawana Brawley rape hoax?'  Al: 'Yeah' (not funny but I was goin for accuracy)","Thu Feb 11 01:03:49 +0000 2016","TheIceIsFake",36.1093915,"-95.913642","violence_against_women"
"74","It's a lie for Bernie to state he fought for civil rights his entire adult life  in the 70s he was unemployed writing rape essays for funds!","Thu Feb 11 03:36:11 +0000 2016","MrDane1982",40.655138,"-73.9487755","violence_against_women"
"75","Me  too...Why This Proud (Middle-Aged) Feminist Is Supporting Bernie Sanders @alternet https://t.co/WMpuxAiaSq","Thu Feb 11 03:38:00 +0000 2016","Missjayette",44.00123,"-71.566171","feminism"
"76","My 60 year old coworker said Bernie Sanders was a psycho today &amp; I asked why and he said 'cause he supports gay marriage &amp; abortions'","Thu Feb 11 07:32:44 +0000 2016","dejaentenduh",33.2824505,"-111.8808735","reproductive_rights"
"77","@BernieSanders's Revolution is as ridiculous statement as Kotex's Revolutionary Tampon  @CNN","Thu Feb 11 13:36:44 +0000 2016","boycotkochbros",40.780709,"-73.9685415","reproductive_rights"
"78","When feminists support Hillary based on gender=Faux-Feminism #FeelTheBern https://t.co/hZCdgYUdfj","Thu Feb 11 19:36:32 +0000 2016","OceanPleasant",34.0207895,"-118.4119065","feminism"
"79","@BernieSanders ***ONLINE BERNER ALERT! ****STOP the Sexism CRAP NOW!  #IStandWithEmily #BernieSistanWE ARE THE MEDIA!#WeAreTheMedia","Thu Feb 11 19:38:38 +0000 2016","careames54",33.0612425,"-96.7349005","feminism"
"80","@HillaryClinton @TheHill  Online ******BERNIE ALERT***#IStandWithEmily #BernieSista STFU @billclinton. We have issues &amp; it is not SEXISM!","Thu Feb 11 19:46:27 +0000 2016","careames54",33.0612425,"-96.7349005","feminism"
"81",".@HillaryClinton August 12  1963: The Day Bernie Sanders was Arrested in Demonstration against Racism. https://t.co/KLoStjVlId #Bernie","Thu Feb 11 20:28:54 +0000 2016","AndrewCicchetti",-15.4551765,"-55.842543","intersectionality"
"82",".@taddevine August 12  1963: The Day Bernie Sanders was Arrested in Demonstration against Racism. https://t.co/KLoStjVlId #Bernie","Thu Feb 11 20:30:16 +0000 2016","AndrewCicchetti",-15.4551765,"-55.842543","intersectionality"
"83",".@es_snipes August 12  1963: The Day Bernie Sanders was Arrested in Demonstration against Racism. https://t.co/KLoStjVlId #Bernie","Thu Feb 11 20:37:04 +0000 2016","AndrewCicchetti",-15.4551765,"-55.842543","intersectionality"
"84","Clinton Campaign Distorts Bernie Sanders’ Racial Justice History https://t.co/Xly6defADg via ComradeAlan","Thu Feb 11 20:37:53 +0000 2016","anyalhas",40.0048655,"-75.117998","intersectionality"
"85",".@JustinBamberg August 12  1963: The Day Bernie Sanders was Arrested in Demonstration against Racism. https://t.co/KLoStjVlId #Bernie","Thu Feb 11 20:38:16 +0000 2016","AndrewCicchetti",-15.4551765,"-55.842543","intersectionality"
"86",".@ErikaAndiola August 12  1963: The Day Bernie Sanders was Arrested in Demonstration against Racism. https://t.co/KLoStjVlId #Bernie","Thu Feb 11 20:38:58 +0000 2016","AndrewCicchetti",-15.4551765,"-55.842543","intersectionality"
"87",".@gwenifill August 12  1963: The Day Bernie Sanders was Arrested in Demonstration against Racism. https://t.co/KLoStjVlId #Bernie","Thu Feb 11 20:40:36 +0000 2016","AndrewCicchetti",-15.4551765,"-55.842543","intersectionality"
"88","@TheBpDShow August 12  1963: The Day Bernie Sanders was Arrested in Demonstration against Racism. https://t.co/KLoStjVlId #Bernie","Thu Feb 11 20:49:01 +0000 2016","AndrewCicchetti",-15.4551765,"-55.842543","intersectionality"
"89","@KillerMike August 12  1963: The Day Bernie Sanders was Arrested in Demonstration against Racism. https://t.co/KLoStjVlId #Bernie","Thu Feb 11 20:49:33 +0000 2016","AndrewCicchetti",-15.4551765,"-55.842543","intersectionality"
"90","@elonjames August 12  1963: The Day Bernie Sanders was Arrested in Demonstration against Racism. https://t.co/KLoStjVlId #Bernie","Thu Feb 11 20:50:12 +0000 2016","AndrewCicchetti",-15.4551765,"-55.842543","intersectionality"
"91","Bernie gonne Love @huskurage ! #itsonus @WithoutViolence https://t.co/13OwvZiWqN","Fri Feb 12 01:54:14 +0000 2016","peter78sv",59.333671,"17.980059","violence_against_women"
"92","@WomensHealthMag @BernieSanders but she should be. Bernie is old with old ideals","Fri Feb 12 02:22:33 +0000 2016","TheKQ",27.698682,"-83.804475","reproductive_rights"
"93","Hey Bernie: Abortion is not a personal choice  it is a choice of one person to end the life of another person w/o a choice: personsnal","Fri Feb 12 02:35:50 +0000 2016","phenoanderson",41.3078435,"-87.417249","reproductive_rights"
"94","@BernieSanders makes a statement about hypocrisy of Republican Party and how they like small govt until it comes to the idea of abortion","Fri Feb 12 02:39:50 +0000 2016","Kealani_T",34.0207895,"-118.4119065","reproductive_rights"
"95","This is the first time I have ever heard Hillary Clinton utter the term 'systemic racism.' Bernie is changing the discourse. #DemDebate","Fri Feb 12 02:42:19 +0000 2016","ct6522",40.6708795,"-73.8311875","intersectionality"
"96","Bernie's class-based approach to the US would make a lot more sense to the average American if he embraced intersectionality #DemDebate","Fri Feb 12 02:46:42 +0000 2016","thalprice",42.3136695,"-71.0887125","intersectionality"
"97","He's a rude child. And classic male sexist bloviating main son. @SenSanders #ImWithHer","Fri Feb 12 03:49:46 +0000 2016","coachkitty",47.751546,"-122.2471045","feminism"
"98","She must've worn yellow Paddington Bear slicker to bait #BernieBros like me to attack style sense  then cry sexism foul. #FeeltheBern","Fri Feb 12 04:33:13 +0000 2016","ApplePieEnglish",37.7706565,"-122.4359785","feminism"
"99","Bernie Sanders thinks everything is a classist issue. Classism is not the new racism.","Fri Feb 12 05:30:18 +0000 2016","MJStarLover",40.655138,"-73.9487755","intersectionality"
"100","Hillary Was Working For  'CHILDREN'S DEFENSE.' Bernie Wrote About Fantasizing: WOMEN BEING GANG RAPED!' https://t.co/OJNXNZAa1Q","Fri Feb 12 06:07:04 +0000 2016","DrTomMartinPhD",44.065621,"-123.1224015","violence_against_women"
"101","@jacobinmag Bernie isn't really a leftist  but he's the closest America has right now. His focus on class does not ignore racism.","Fri Feb 12 07:27:30 +0000 2016","lightning_youth",33.6311395,"-80.926628","intersectionality"
"102","This abhorrent behavior is an extension of bullying &amp; sexism @wallace_anna @emrata @BernieSanders @GaryNamie https://t.co/1ov1lwye2R #bernie","Fri Feb 12 12:55:13 +0000 2016","crewoldt",38.755407,"-90.2768125","feminism"
"103","Commitment to #Diversity in #politics: https://t.co/Pgmhf0Rpza #HRC #DNC #FeelTheBern","Fri Feb 12 14:34:59 +0000 2016","eneubauer",38.3045585,"-92.4367735","intersectionality"
"104","@BostonGlobe @freep @PlainDealer  After 40 yrs of progress  racial divide reappeared  thanks to Obama and now Hillary and Bernie!","Fri Feb 12 18:09:07 +0000 2016","b2burns",33.5528625,"-112.1246765","intersectionality"
"105","@CecilyKeating @admiralmpj bc its 'in the press' that makes it any less misogynist? is the 'Bernie Ho's' insult okay by you also?","Fri Feb 12 20:56:14 +0000 2016","struble_eric",32.810012,"-117.104989","men"
"106","@robertkessler This sounds sexist. To be clear  this is a comment on MARNIE (and her shitty relationship)  not on female Bernie supporters!","Fri Feb 12 21:19:51 +0000 2016","LouisPeitzman",40.655138,"-73.9487755","feminism"
"107","@HillaryClinton Sorry  you don't have my vote.... Haven't forgotten about your past #racism! https://t.co/cZiqItZuO7 Go @BernieSanders!","Fri Feb 12 21:39:44 +0000 2016","angiedaley11",41.8335845,"-87.732013","intersectionality"
"108","Jesus. Democrats  this misogyny is really unbecoming. I can prefer Bernie's platform and still marvel at HRC making history. #bernout","Fri Feb 12 22:28:58 +0000 2016","RVoronaCote",38.8808445,"-77.101999","men"
"109","@MikeGrunwald I don't know who you are watching This is Bernie;s view. Soon to write you off as just another sexist journalist","Fri Feb 12 23:39:06 +0000 2016","Plantflowes",40.3651595,"-82.6694675","feminism"
"110","@BKFeelsTheBern @BernieSanders n the south sometimes stating Texas will secede.we need to fix the communities and the systematic racism 1st","Sat Feb 13 02:51:17 +0000 2016","MD_for_Bernie",39.284713,"-76.620482","intersectionality"
"111","@PeterKelly74 like Bernie says his supporters are his own worst enemies  sexism to comment on her clothes  maybe she just likes it","Sat Feb 13 03:42:27 +0000 2016","suestroud",48.5819835,"-123.421838","feminism"
"112","CNN PANEL Discusses: BERNIE SANDERS  'WOMEN HAVE FANTASIES OF BEING GANG RAPED By 3 MEN SIMULTANEOUSLY. #BillMaher https://t.co/9v6FcLM6Kh","Sat Feb 13 04:13:32 +0000 2016","DrTomMartinPhD",44.065621,"-123.1224015","violence_against_women"
"113","Sanders releases new ad featuring Eric Garner's daughter https://t.co/7I00MnTWI4 #ICantBreathe #endracism #RacismStopsWithMe #FeelTheBern","Sat Feb 13 06:46:40 +0000 2016","MyTraceElements",44.9706105,"-93.2620465","intersectionality"
"114","Incredibly powerful ad and endorsement  facing up to racism. Possibly best ad yet -- It's Not Over | Bernie Sanders https://t.co/YYbKnyiRC0","Sat Feb 13 12:44:41 +0000 2016","ConorMcKenzie",51.754286,"-1.2334335","intersectionality"
"115","TAX THE RICH UNTIL THEY LEAVE AND BERNIE DEVOURERS  THE MIDDLE CLASS  RAPES EM LIKE ISIS  OOH THAT WAS HARSH BUT ITS BERNIE","Sat Feb 13 14:49:29 +0000 2016","STRONG_OPED",32.3078765,"-90.8753105","violence_against_women"
"116","Bernie Sanders talks 'Black America' in heated north Minneapolis forum Bernie spoke on racial inequality in Iowa.  https://t.co/O6DK1oo2LW","Sat Feb 13 18:16:38 +0000 2016","VickiGreen3",30.086918,"-94.1286335","intersectionality"
"117","@TrillAmericana2 But Bernie Sanders the man he's speaking for wrote rape essays and voted to proctect rapist/child rapist @missbrob","Sat Feb 13 18:17:58 +0000 2016","MrDane1982",40.655138,"-73.9487755","violence_against_women"
"118","@Sassy__Abby @HillaryClinton #FeelTheBern #WeAreBernie #BernieStrong #NotMeUs #ImWithHim #ImNotWitHer A #TrueFeminist votes #BernieSanders","Sat Feb 13 18:19:48 +0000 2016","UmbraeTika",35.1704985,"-79.861034","feminism"
"119","@ShaunKing wants to talk about someone being a pervert when he stands with Bernie Sanders who wrote rape essays and voted to protect rapist","Sat Feb 13 18:23:43 +0000 2016","MrDane1982",40.655138,"-73.9487755","violence_against_women"
"120","@theshrillest it's the call and response that's weird. (very weird) attacking bernie for jobs end racism seems valid.","Sat Feb 13 21:35:23 +0000 2016","AsteadWH",42.3136695,"-71.0887125","intersectionality"
"121","Listening to an amazing #TransGender advocate for @BernieSanders now in #LasVegas watch LIVE on @periscopeco #LGBT https://t.co/oL18Bn0fOl","Sat Feb 13 22:50:59 +0000 2016","Clyatt",36.2491245,"-115.133373","intersectionality"
"122","My comment on @NYTimesDowd: When #HillaryClinton Killed #Feminism via @nytimes #Steinem #Albright #BernieSanders https://t.co/cJfV6j1PxV","Sun Feb 14 00:12:50 +0000 2016","Rima_Regas",34.0207895,"-118.4119065","feminism"
"123","CNN PANEL Discusses: BERNIE SANDERS  'WOMEN HAVE FANTASIES BEING GANG RAPED By 3 MEN SIMULTANEOUSLY. #PoliticsNation https://t.co/9v6FcLM6Kh","Sun Feb 14 13:04:57 +0000 2016","DrTomMartinPhD",44.065621,"-123.1224015","violence_against_women"
"124","@thehill @iowanpolitics yep  she is no Bernie. While she was negotiating cease fire  Bernie was writing his rape fantasy.","Sun Feb 14 14:56:12 +0000 2016","Plantflowes",40.3651595,"-82.6694675","violence_against_women"
"125","@NBCBLK @BernieSanders @LVBurke surely these issues transcend racial lines  and these questions should be asked of any candidate?!","Sun Feb 14 18:06:17 +0000 2016","28WordAverage",-41.2529975,"174.7543385","intersectionality"
"126","@Pontifex  PopeFranceAsYouDo Endorse BerniSanders ToBe Prezident   Know That I Will Mucho Write BernieSanders To Call For End Of Abortion","Sun Feb 14 18:31:21 +0000 2016","ThomasTrauscht7",39.7393005,"-89.2665075","reproductive_rights"
"127","@KasiaMikurda @Gdad1 @skookerG @bennydiego @Ursomonie Bernie Sanders' rape-fantasy essay reveals left-wing hypocrisy | New ...how about","Sun Feb 14 23:39:57 +0000 2016","arln1966",26.150368,"-80.1491725","violence_against_women"
"128","Bernie Sander AA and Black women support you. Can we depend on you to end systematic racism from the TOP DOWN.","Thu Feb 18 15:36:29 +0000 2016","colormebeauti77",39.305508,"-76.7538045","intersectionality"
