"","Tweet","Time Stamp","Twitter Handle","Latitude","Longitude","Topic"
"31","#BillClinton's remarkably #FactFree ramblings yesterday on #Hillary's behalf smack of #ObamaRacialSlurs in #SC in 2008 campaign. #EpicFail!","Mon Feb 08 19:20:42 +0000 2016","PSmirn",38.0033755,"-79.420865","intersectionality"
"32","@feministabulous @micnews @HillaryClinton they all look like hired actors.","Mon Feb 08 19:38:10 +0000 2016","ShazadHamid",32.6782075,"-83.1738665","feminism"
"33","The more Bernie bots attack me. The more They #FeelTheBlock and I#StandWithHillary #FightForHillary   #SexistsAreOutInTheCold! Bye!!!","Mon Feb 08 19:52:17 +0000 2016","DayJojo771980",38.8885185,"-104.789327","feminism"
"34","Bernie Bros can say what ever sexist bull shit they want because...Bill Clinton! Good job @BernieSanders So much for a clean campaign.","Mon Feb 08 20:15:08 +0000 2016","babsiemay",37.765135,"-87.1023995","feminism"
"35","The Feminist Backlash Isn’t Helping Hillary Clinton with Young Women  https://t.co/QDqpjrRAk0","Mon Feb 08 20:27:44 +0000 2016","BoucherKc",38.114777,"-122.2302225","feminism"
"36","The Feminist Backlash Isn’t Helping Hillary Clinton with Young Women https://t.co/0e9C3TiD3s via vicenews","Mon Feb 08 20:48:10 +0000 2016","Mmmbeck",47.614817,"-122.3306025","feminism"
"37","@NARAL @CorrectRecord @HillaryClinton @PPFA 😂😂😂😂😂😂😂😂😂😂😂 #feelsorryforyou","Mon Feb 08 21:18:14 +0000 2016","carlasletta",45.1442545,"-95.040446","reproductive_rights"
"38","David Brock is Hillary's PAC head.  A very sleazy individual who smeared Anita Hill. While we're talking sexism! https://t.co/4IHwFNO4MJ","Mon Feb 08 22:12:41 +0000 2016","STrimel",40.7681405,"-73.5300925","feminism"
"39","An open letter to older #women #voting for #Hillary  from a younger woman voting for #Bernie via https://t.co/OjOcTwvR0Z #FEMINISTforBERNIE","Mon Feb 08 22:21:07 +0000 2016","EmilyRuhGlobal",38.0033755,"-79.420865","feminism"
"40","I love when @HillaryClinton supporters lecture me  a woman  about sexism. I was raised by THIS woman. #Bernie2016 https://t.co/9v7jCFSVvj","Mon Feb 08 22:37:46 +0000 2016","McSquirmishes",34.0207895,"-118.4119065","feminism"
